0 1 2
0 5 6
0 7 1
0 8 7
0 11 6
0 13 1
0 15 4
0 16 4
0 18 9
0 19 9
0 24 4
0 26 1
0 27 5
0 29 6
0 34 1
0 38 4
0 40 7
0 45 5
0 46 9
0 49 5
1 2 3
1 4 7
1 5 6
1 6 7
1 9 2
1 15 6
1 16 2
1 17 4
1 20 1
1 21 9
1 22 7
1 23 3
1 27 1
1 29 7
1 30 4
1 32 4
1 35 6
1 36 5
1 37 1
1 40 5
1 42 7
1 43 7
1 46 1
1 47 2
2 5 3
2 9 1
2 13 1
2 16 9
2 19 4
2 22 1
2 24 9
2 25 1
2 26 5
2 27 8
2 29 6
2 30 1
2 31 8
2 33 4
2 34 6
2 36 7
2 37 7
2 38 3
2 39 3
2 41 1
2 42 6
2 43 2
2 48 4
3 4 9
3 5 2
3 7 2
3 8 6
3 9 9
3 11 6
3 12 4
3 13 2
3 17 2
3 18 5
3 20 4
3 21 8
3 23 3
3 24 3
3 25 1
3 27 5
3 28 1
3 29 7
3 32 8
3 33 6
3 34 1
3 38 6
3 41 8
3 44 2
3 48 9
3 49 2
4 5 6
4 6 5
4 8 9
4 10 8
4 12 2
4 13 2
4 14 4
4 15 3
4 16 2
4 19 5
4 20 9
4 22 9
4 24 6
4 28 2
4 31 6
4 35 8
4 41 4
4 47 8
4 49 8
5 6 7
5 10 7
5 11 4
5 12 4
5 13 3
5 14 1
5 16 3
5 19 5
5 20 1
5 22 4
5 23 1
5 26 8
5 28 3
5 31 9
5 33 3
5 34 2
5 36 4
5 39 9
5 41 6
5 43 1
5 46 9
5 48 5
6 7 5
6 8 6
6 10 7
6 11 2
6 15 4
6 16 5
6 18 2
6 19 9
6 24 8
6 25 5
6 27 1
6 30 4
6 31 3
6 34 3
6 35 7
6 38 1
6 39 7
6 43 9
6 45 6
6 46 2
6 47 6
6 48 9
7 8 9
7 9 9
7 10 3
7 11 2
7 15 1
7 16 1
7 17 1
7 20 6
7 21 7
7 22 6
7 24 2
7 25 7
7 26 5
7 27 2
7 28 6
7 30 3
7 32 2
7 36 1
7 39 4
7 42 5
7 44 1
7 46 3
7 48 7
7 49 6
8 9 5
8 10 7
8 12 3
8 13 1
8 14 2
8 15 2
8 16 3
8 18 8
8 19 2
8 20 8
8 21 9
8 25 9
8 27 4
8 29 4
8 30 3
8 32 4
8 33 8
8 34 8
8 35 1
8 36 9
8 37 2
8 42 5
8 43 7
8 44 1
8 46 1
8 48 6
8 49 4
9 11 6
9 12 6
9 14 4
9 15 4
9 16 4
9 18 2
9 21 5
9 25 6
9 27 1
9 28 8
9 30 2
9 32 9
9 34 4
9 35 5
9 36 8
9 37 8
9 38 1
9 41 4
9 43 7
9 47 5
9 48 4
9 49 5
10 12 4
10 15 5
10 16 7
10 17 6
10 21 2
10 22 9
10 24 6
10 26 1
10 27 2
10 30 5
10 32 2
10 33 4
10 34 6
10 37 7
10 38 6
10 39 1
10 42 9
10 43 6
10 45 4
11 14 4
11 15 8
11 19 2
11 21 2
11 25 5
11 26 9
11 29 2
11 31 5
11 32 6
11 34 9
11 37 5
11 38 4
11 39 7
11 42 3
11 44 1
11 45 5
11 46 6
11 48 6
12 13 9
12 14 4
12 15 8
12 19 8
12 24 2
12 25 4
12 29 8
12 30 6
12 33 1
12 36 3
12 37 4
12 38 6
12 41 5
12 42 6
12 44 6
12 46 9
13 14 3
13 15 6
13 18 8
13 21 8
13 24 3
13 25 9
13 28 3
13 30 6
13 31 8
13 32 2
13 33 3
13 34 7
13 38 1
13 39 4
13 40 1
13 42 8
13 43 3
13 44 3
13 47 5
13 48 6
13 49 9
14 16 8
14 19 8
14 20 1
14 22 6
14 24 4
14 25 3
14 27 6
14 28 7
14 31 8
14 32 6
14 33 9
14 35 8
14 41 9
